1.081	0.951
1.093	0.958
1.024	0.833
0.907	0.699
0.800	0.620
0.730	0.576
0.635	0.490
0.528	0.446
0.472	0.411
0.492	0.457
0.586	0.545
0.768	0.784
1.037	1.029
1.164	1.124
1.125	0.995
1.040	0.913
0.866	0.771
0.741	0.582
0.606	0.480
0.489	0.389
0.365	0.295
0.316	0.260
0.297	0.250
0.332	0.328
0.643	0.586
0.807	0.706
0.735	0.707
0.716	0.609
0.700	0.483
0.636	0.457
0.635	0.411
0.579	0.356
0.447	0.279
0.334	0.219
0.329	0.247
0.446	0.384
0.785	0.724
1.072	0.933
1.082	0.835
1.033	0.827
0.977	0.750
0.956	0.713
0.924	0.687
0.823	0.560
0.670	0.448
0.531	0.381
0.513	0.399
0.589	0.488
0.777	0.655
1.007	0.938
1.168	0.992
1.187	0.965
1.158	0.949
1.142	0.889
1.106	0.864
1.030	0.767
0.946	0.719
0.860	0.642
0.777	0.603
0.815	0.686
0.935	0.793
1.196	1.214
1.455	1.451
1.518	1.449
1.488	1.424
1.385	1.219
1.236	1.008
1.069	0.812
0.878	0.660
0.713	0.547
0.622	0.518
0.574	0.491
0.468	0.420
0.524	0.567
0.924	1.004
1.165	1.079
1.057	0.949
0.911	0.762
0.728	0.607
0.590	0.495
0.530	0.446
0.406	0.330
0.250	0.217
0.187	0.200
0.207	0.242
0.315	0.379
0.751	0.813
0.971	0.953
0.835	0.863
0.852	0.788
0.768	0.785
0.802	0.740
0.746	0.681
0.605	0.523
0.461	0.391
0.389	0.323
0.465	0.376
0.534	0.450
0.804	0.837
1.143	1.141
1.177	1.102
1.134	1.057
1.074	0.927
1.010	0.888
0.937	0.786
0.796	0.665
0.669	0.558
0.601	0.562
0.611	0.594
0.690	0.639
0.808	0.886
1.295	1.408
1.439	1.356
1.323	1.266
1.234	1.076
1.134	1.038
1.026	0.857
0.863	0.732
0.703	0.576
0.532	0.490
0.503	0.451
0.532	0.558
0.921	1.029
1.123	1.156
1.107	0.986
0.967	0.832
0.805	0.743
0.742	0.650
0.693	0.604
0.544	0.466
0.352	0.280
0.283	0.227
0.265	0.227
0.363	0.352
0.767	0.856
1.081	0.967
0.950	0.769
0.825	0.687
0.747	0.615
0.689	0.576
0.713	0.601
0.630	0.488
0.394	0.335
0.222	0.262
0.199	0.285
0.323	0.435
0.743	0.867
1.029	0.985
0.994	0.846
0.958	0.840
0.973	0.846
1.046	0.919
1.054	0.837
0.878	0.657
0.663	0.481
0.562	0.430
0.586	0.486
0.669	0.541
0.894	0.892
1.239	1.191
1.276	1.001
1.106	0.981
1.034	0.933
0.973	0.828
0.956	0.746
0.859	0.605
0.668	0.403
0.459	0.284
0.390	0.272
0.394	0.293
0.501	0.477
0.999	0.994
1.207	1.014
1.068	0.827
0.956	0.725
0.914	0.656
0.906	0.648
0.880	0.592
0.712	0.436
0.510	0.330
0.434	0.304
0.460	0.376
