1	0.883
2	1.028
3	0.939
4	0.878
5	0.867
6	0.852
7	0.775
8	0.756
9	0.688
10	0.658
11	0.659
12	0.716
13	0.741
14	0.720
15	0.714
16	0.704
17	0.680
18	0.730
19	0.730
20	0.730
21	0.721
22	0.651
23	0.682
24	0.727
25	0.812
26	0.774
27	0.784
28	0.795
29	0.822
30	0.823
31	0.820
32	0.786
33	0.701
34	0.646
35	0.635
36	0.655
37	0.734
38	0.840
39	1.032
40	1.033
41	0.980
42	0.914
43	0.877
44	0.820
45	0.717
46	0.632
47	0.605
48	0.592
49	0.594
50	0.644
51	0.850
52	0.863
53	0.803
54	0.757
55	0.682
56	0.653
57	0.627
58	0.548
59	0.520
60	0.496
61	0.519
62	0.543
63	0.904
64	0.908
65	0.881
66	0.821
67	0.816
68	0.852
69	0.821
70	0.729
71	0.681
72	0.704
