1	0.817	
2	0.868	
3	1.055	
4	1.005	
5	0.998	
6	0.995	
7	0.950	
8	0.873	
9	0.848	
10	0.786	
11	0.653	
12	0.593	
13	0.617	
14	0.736	
15	0.927	
16	0.789	
17	0.692	
18	0.733	
19	0.682	
20	0.798	
21	0.866	
22	0.852	
23	0.850	
24	0.804	
25	0.727	
26	0.784	
27	0.931	
28	0.871	
29	0.879	
30	0.943	
31	0.971	
32	1.006	
33	0.997	
34	0.934	
35	0.865	
36	0.816	
37	0.815	
38	0.861	
39	0.935	
40	1.160	
41	1.212	
42	1.174	
43	1.131	
44	1.090	
45	1.042	
46	0.967	
47	0.879	
48	0.802	
49	0.769	
50	0.745	
51	0.765	
52	0.944	
53	0.862	
54	0.894	
55	0.899	
56	0.737	
57	0.789	
58	0.786	
59	0.739	
60	0.635	
61	0.568	
62	0.544	
63	0.636	
64	0.912	
65	1.016	
66	0.996	
67	0.943	
68	0.901	
69	0.860	
70	0.871	
71	0.808	
72	0.625	
